 Embeddings: glove_100d_6b

 --- glove_100d_6b ---, Experiment: 0,  Epoch: 0, Average train loss: 1.789003, Train accuracy: 0.238874, Valid accuracy: 0.230530, Test accuracy: 0.234606
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 1, Average train loss: 1.752027, Train accuracy: 0.266822, Valid accuracy: 0.246106, Test accuracy: 0.239283
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 2, Average train loss: 1.740223, Train accuracy: 0.277924, Valid accuracy: 0.236760, Test accuracy: 0.232268
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 3, Average train loss: 1.726951, Train accuracy: 0.284740, Valid accuracy: 0.246885, Test accuracy: 0.237724
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 4, Average train loss: 1.719921, Train accuracy: 0.293505, Valid accuracy: 0.253115, Test accuracy: 0.253313
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 5, Average train loss: 1.712157, Train accuracy: 0.304411, Valid accuracy: 0.255452, Test accuracy: 0.254092
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 6, Average train loss: 1.703255, Train accuracy: 0.310254, Valid accuracy: 0.254673, Test accuracy: 0.251754
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 7, Average train loss: 1.694979, Train accuracy: 0.318532, Valid accuracy: 0.251558, Test accuracy: 0.253313
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 8, Average train loss: 1.688457, Train accuracy: 0.324180, Valid accuracy: 0.255452, Test accuracy: 0.255651
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 9, Average train loss: 1.677511, Train accuracy: 0.331678, Valid accuracy: 0.256231, Test accuracy: 0.255651
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 10, Average train loss: 1.672106, Train accuracy: 0.337521, Valid accuracy: 0.261682, Test accuracy: 0.256430
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 11, Average train loss: 1.663333, Train accuracy: 0.344532, Valid accuracy: 0.266355, Test accuracy: 0.255651
 --- glove_100d_6b ---, Experiment: 0,  Epoch: 12, Average train loss: 1.658502, Train accuracy: 0.353783, Valid accuracy: 0.263240, Test accuracy: 0.256430
