 RNN: 32 LSTM

 --- 32 ---, Experiment: 0,  Epoch: 0, Average train loss: 1.815113, Train accuracy: 0.196806, Valid accuracy: 0.184579, Test accuracy: 0.222915
 --- 32 ---, Experiment: 0,  Epoch: 1, Average train loss: 1.766722, Train accuracy: 0.221443, Valid accuracy: 0.211838, Test accuracy: 0.233827
 --- 32 ---, Experiment: 0,  Epoch: 2, Average train loss: 1.756004, Train accuracy: 0.229428, Valid accuracy: 0.214953, Test accuracy: 0.229930
 --- 32 ---, Experiment: 0,  Epoch: 3, Average train loss: 1.748097, Train accuracy: 0.236537, Valid accuracy: 0.219626, Test accuracy: 0.226033
 --- 32 ---, Experiment: 0,  Epoch: 4, Average train loss: 1.740131, Train accuracy: 0.243451, Valid accuracy: 0.231308, Test accuracy: 0.224474
 --- 32 ---, Experiment: 0,  Epoch: 5, Average train loss: 1.732506, Train accuracy: 0.252410, Valid accuracy: 0.235202, Test accuracy: 0.229930
 --- 32 ---, Experiment: 0,  Epoch: 6, Average train loss: 1.725583, Train accuracy: 0.260688, Valid accuracy: 0.241433, Test accuracy: 0.229150
 --- 32 ---, Experiment: 0,  Epoch: 7, Average train loss: 1.719214, Train accuracy: 0.261272, Valid accuracy: 0.245327, Test accuracy: 0.232268
 --- 32 ---, Experiment: 0,  Epoch: 8, Average train loss: 1.713222, Train accuracy: 0.264388, Valid accuracy: 0.255452, Test accuracy: 0.235386
 --- 32 ---, Experiment: 0,  Epoch: 9, Average train loss: 1.707471, Train accuracy: 0.267504, Valid accuracy: 0.257009, Test accuracy: 0.236165
 --- 32 ---, Experiment: 0,  Epoch: 10, Average train loss: 1.701843, Train accuracy: 0.273055, Valid accuracy: 0.260903, Test accuracy: 0.242401
 --- 32 ---, Experiment: 0,  Epoch: 11, Average train loss: 1.696254, Train accuracy: 0.277632, Valid accuracy: 0.260903, Test accuracy: 0.242401
 --- 32 ---, Experiment: 0,  Epoch: 12, Average train loss: 1.690630, Train accuracy: 0.280066, Valid accuracy: 0.260903, Test accuracy: 0.243180
 --- 32 ---, Experiment: 0,  Epoch: 13, Average train loss: 1.684996, Train accuracy: 0.284546, Valid accuracy: 0.264019, Test accuracy: 0.250195
 --- 32 ---, Experiment: 0,  Epoch: 14, Average train loss: 1.679433, Train accuracy: 0.288344, Valid accuracy: 0.264798, Test accuracy: 0.249415
 --- 32 ---, Experiment: 0,  Epoch: 15, Average train loss: 1.673956, Train accuracy: 0.291654, Valid accuracy: 0.265576, Test accuracy: 0.250974
 --- 32 ---, Experiment: 0,  Epoch: 16, Average train loss: 1.668580, Train accuracy: 0.295647, Valid accuracy: 0.264798, Test accuracy: 0.252533
 --- 32 ---, Experiment: 0,  Epoch: 17, Average train loss: 1.663330, Train accuracy: 0.298861, Valid accuracy: 0.273364, Test accuracy: 0.254092
 --- 32 ---, Experiment: 0,  Epoch: 18, Average train loss: 1.658191, Train accuracy: 0.302074, Valid accuracy: 0.276480, Test accuracy: 0.257210
 --- 32 ---, Experiment: 0,  Epoch: 19, Average train loss: 1.653133, Train accuracy: 0.307333, Valid accuracy: 0.275701, Test accuracy: 0.255651
 --- 32 ---, Experiment: 0,  Epoch: 20, Average train loss: 1.648129, Train accuracy: 0.311033, Valid accuracy: 0.270249, Test accuracy: 0.253313
 --- 32 ---, Experiment: 0,  Epoch: 21, Average train loss: 1.643155, Train accuracy: 0.314831, Valid accuracy: 0.271028, Test accuracy: 0.254092
 --- 32 ---, Experiment: 0,  Epoch: 22, Average train loss: 1.638221, Train accuracy: 0.319116, Valid accuracy: 0.266355, Test accuracy: 0.254871
 --- 32 ---, Experiment: 0,  Epoch: 23, Average train loss: 1.633532, Train accuracy: 0.323693, Valid accuracy: 0.265576, Test accuracy: 0.252533
 --- 32 ---, Experiment: 0,  Epoch: 24, Average train loss: 1.628310, Train accuracy: 0.327004, Valid accuracy: 0.259346, Test accuracy: 0.256430
 --- 32 ---, Experiment: 0,  Epoch: 25, Average train loss: 1.623435, Train accuracy: 0.329633, Valid accuracy: 0.264019, Test accuracy: 0.256430
 --- 32 ---, Experiment: 0,  Epoch: 26, Average train loss: 1.618546, Train accuracy: 0.330412, Valid accuracy: 0.260903, Test accuracy: 0.259548
 --- 32 ---, Experiment: 0,  Epoch: 27, Average train loss: 1.613675, Train accuracy: 0.334307, Valid accuracy: 0.257788, Test accuracy: 0.260327
 --- 32 ---, Experiment: 0,  Epoch: 28, Average train loss: 1.608808, Train accuracy: 0.339566, Valid accuracy: 0.257009, Test accuracy: 0.259548
 --- 32 ---, Experiment: 0,  Epoch: 29, Average train loss: 1.603934, Train accuracy: 0.341805, Valid accuracy: 0.257009, Test accuracy: 0.261107
 --- 32 ---, Experiment: 1,  Epoch: 0, Average train loss: 1.809642, Train accuracy: 0.203915, Valid accuracy: 0.195483, Test accuracy: 0.204209
 --- 32 ---, Experiment: 1,  Epoch: 1, Average train loss: 1.765078, Train accuracy: 0.213555, Valid accuracy: 0.200156, Test accuracy: 0.215121
 --- 32 ---, Experiment: 1,  Epoch: 2, Average train loss: 1.757335, Train accuracy: 0.221541, Valid accuracy: 0.219626, Test accuracy: 0.223694
 --- 32 ---, Experiment: 1,  Epoch: 3, Average train loss: 1.749699, Train accuracy: 0.233129, Valid accuracy: 0.234424, Test accuracy: 0.231489
 --- 32 ---, Experiment: 1,  Epoch: 4, Average train loss: 1.741037, Train accuracy: 0.241601, Valid accuracy: 0.240654, Test accuracy: 0.243959
 --- 32 ---, Experiment: 1,  Epoch: 5, Average train loss: 1.731961, Train accuracy: 0.248612, Valid accuracy: 0.235202, Test accuracy: 0.237724
 --- 32 ---, Experiment: 1,  Epoch: 6, Average train loss: 1.723811, Train accuracy: 0.254942, Valid accuracy: 0.241433, Test accuracy: 0.238504
 --- 32 ---, Experiment: 1,  Epoch: 7, Average train loss: 1.716923, Train accuracy: 0.260882, Valid accuracy: 0.250779, Test accuracy: 0.236165
 --- 32 ---, Experiment: 1,  Epoch: 8, Average train loss: 1.710910, Train accuracy: 0.266141, Valid accuracy: 0.257788, Test accuracy: 0.239283
 --- 32 ---, Experiment: 1,  Epoch: 9, Average train loss: 1.705403, Train accuracy: 0.271789, Valid accuracy: 0.254673, Test accuracy: 0.248636
 --- 32 ---, Experiment: 1,  Epoch: 10, Average train loss: 1.700182, Train accuracy: 0.274808, Valid accuracy: 0.255452, Test accuracy: 0.247857
 --- 32 ---, Experiment: 1,  Epoch: 11, Average train loss: 1.695135, Train accuracy: 0.280650, Valid accuracy: 0.261682, Test accuracy: 0.247077
 --- 32 ---, Experiment: 1,  Epoch: 12, Average train loss: 1.690215, Train accuracy: 0.285617, Valid accuracy: 0.261682, Test accuracy: 0.253313
 --- 32 ---, Experiment: 1,  Epoch: 13, Average train loss: 1.685399, Train accuracy: 0.289804, Valid accuracy: 0.262461, Test accuracy: 0.253313
 --- 32 ---, Experiment: 1,  Epoch: 14, Average train loss: 1.680671, Train accuracy: 0.293213, Valid accuracy: 0.266355, Test accuracy: 0.250974
 --- 32 ---, Experiment: 1,  Epoch: 15, Average train loss: 1.676025, Train accuracy: 0.296134, Valid accuracy: 0.267913, Test accuracy: 0.255651
 --- 32 ---, Experiment: 1,  Epoch: 16, Average train loss: 1.671453, Train accuracy: 0.300419, Valid accuracy: 0.267913, Test accuracy: 0.260327
 --- 32 ---, Experiment: 1,  Epoch: 17, Average train loss: 1.666945, Train accuracy: 0.301490, Valid accuracy: 0.267913, Test accuracy: 0.259548
 --- 32 ---, Experiment: 1,  Epoch: 18, Average train loss: 1.662494, Train accuracy: 0.304217, Valid accuracy: 0.265576, Test accuracy: 0.261886
 --- 32 ---, Experiment: 1,  Epoch: 19, Average train loss: 1.658092, Train accuracy: 0.305969, Valid accuracy: 0.262461, Test accuracy: 0.258768
 --- 32 ---, Experiment: 1,  Epoch: 20, Average train loss: 1.653733, Train accuracy: 0.308793, Valid accuracy: 0.260903, Test accuracy: 0.254092
 --- 32 ---, Experiment: 1,  Epoch: 21, Average train loss: 1.649411, Train accuracy: 0.311715, Valid accuracy: 0.261682, Test accuracy: 0.252533
 --- 32 ---, Experiment: 1,  Epoch: 22, Average train loss: 1.645118, Train accuracy: 0.316389, Valid accuracy: 0.264019, Test accuracy: 0.247077
 --- 32 ---, Experiment: 1,  Epoch: 23, Average train loss: 1.640836, Train accuracy: 0.319797, Valid accuracy: 0.265576, Test accuracy: 0.249415
 --- 32 ---, Experiment: 1,  Epoch: 24, Average train loss: 1.636594, Train accuracy: 0.324277, Valid accuracy: 0.264019, Test accuracy: 0.253313
 --- 32 ---, Experiment: 1,  Epoch: 25, Average train loss: 1.632359, Train accuracy: 0.325738, Valid accuracy: 0.263240, Test accuracy: 0.256430
 --- 32 ---, Experiment: 1,  Epoch: 26, Average train loss: 1.628120, Train accuracy: 0.329925, Valid accuracy: 0.258567, Test accuracy: 0.258768
 --- 32 ---, Experiment: 1,  Epoch: 27, Average train loss: 1.623869, Train accuracy: 0.332165, Valid accuracy: 0.258567, Test accuracy: 0.260327
 --- 32 ---, Experiment: 1,  Epoch: 28, Average train loss: 1.619601, Train accuracy: 0.335378, Valid accuracy: 0.259346, Test accuracy: 0.261886
 --- 32 ---, Experiment: 1,  Epoch: 29, Average train loss: 1.615310, Train accuracy: 0.337715, Valid accuracy: 0.257788, Test accuracy: 0.258768
 --- 32 ---, Experiment: 2,  Epoch: 0, Average train loss: 1.782594, Train accuracy: 0.217158, Valid accuracy: 0.197040, Test accuracy: 0.217459
 --- 32 ---, Experiment: 2,  Epoch: 1, Average train loss: 1.762426, Train accuracy: 0.225728, Valid accuracy: 0.205607, Test accuracy: 0.215121
 --- 32 ---, Experiment: 2,  Epoch: 2, Average train loss: 1.756448, Train accuracy: 0.231863, Valid accuracy: 0.207165, Test accuracy: 0.217459
 --- 32 ---, Experiment: 2,  Epoch: 3, Average train loss: 1.751057, Train accuracy: 0.239556, Valid accuracy: 0.211838, Test accuracy: 0.233048
 --- 32 ---, Experiment: 2,  Epoch: 4, Average train loss: 1.745473, Train accuracy: 0.246080, Valid accuracy: 0.225857, Test accuracy: 0.227592
 --- 32 ---, Experiment: 2,  Epoch: 5, Average train loss: 1.739442, Train accuracy: 0.248710, Valid accuracy: 0.235202, Test accuracy: 0.222915
 --- 32 ---, Experiment: 2,  Epoch: 6, Average train loss: 1.732868, Train accuracy: 0.255429, Valid accuracy: 0.234424, Test accuracy: 0.229930
 --- 32 ---, Experiment: 2,  Epoch: 7, Average train loss: 1.725867, Train accuracy: 0.259714, Valid accuracy: 0.234424, Test accuracy: 0.238504
 --- 32 ---, Experiment: 2,  Epoch: 8, Average train loss: 1.718792, Train accuracy: 0.264972, Valid accuracy: 0.232866, Test accuracy: 0.244739
 --- 32 ---, Experiment: 2,  Epoch: 9, Average train loss: 1.712038, Train accuracy: 0.269452, Valid accuracy: 0.233645, Test accuracy: 0.247077
 --- 32 ---, Experiment: 2,  Epoch: 10, Average train loss: 1.705751, Train accuracy: 0.274808, Valid accuracy: 0.238318, Test accuracy: 0.254092
 --- 32 ---, Experiment: 2,  Epoch: 11, Average train loss: 1.699830, Train accuracy: 0.279287, Valid accuracy: 0.237539, Test accuracy: 0.254871
 --- 32 ---, Experiment: 2,  Epoch: 12, Average train loss: 1.694137, Train accuracy: 0.286396, Valid accuracy: 0.239875, Test accuracy: 0.258768
 --- 32 ---, Experiment: 2,  Epoch: 13, Average train loss: 1.688600, Train accuracy: 0.289512, Valid accuracy: 0.240654, Test accuracy: 0.262666
 --- 32 ---, Experiment: 2,  Epoch: 14, Average train loss: 1.683201, Train accuracy: 0.293407, Valid accuracy: 0.245327, Test accuracy: 0.265783
 --- 32 ---, Experiment: 2,  Epoch: 15, Average train loss: 1.677945, Train accuracy: 0.298958, Valid accuracy: 0.245327, Test accuracy: 0.262666
 --- 32 ---, Experiment: 2,  Epoch: 16, Average train loss: 1.672827, Train accuracy: 0.301490, Valid accuracy: 0.245327, Test accuracy: 0.266563
 --- 32 ---, Experiment: 2,  Epoch: 17, Average train loss: 1.667826, Train accuracy: 0.303535, Valid accuracy: 0.244548, Test accuracy: 0.267342
 --- 32 ---, Experiment: 2,  Epoch: 18, Average train loss: 1.662920, Train accuracy: 0.306846, Valid accuracy: 0.241433, Test accuracy: 0.271239
 --- 32 ---, Experiment: 2,  Epoch: 19, Average train loss: 1.658085, Train accuracy: 0.308696, Valid accuracy: 0.240654, Test accuracy: 0.275916
 --- 32 ---, Experiment: 2,  Epoch: 20, Average train loss: 1.653307, Train accuracy: 0.312494, Valid accuracy: 0.240654, Test accuracy: 0.275916
 --- 32 ---, Experiment: 2,  Epoch: 21, Average train loss: 1.648575, Train accuracy: 0.316681, Valid accuracy: 0.235981, Test accuracy: 0.273578
 --- 32 ---, Experiment: 2,  Epoch: 22, Average train loss: 1.643880, Train accuracy: 0.319992, Valid accuracy: 0.236760, Test accuracy: 0.273578
 --- 32 ---, Experiment: 2,  Epoch: 23, Average train loss: 1.639215, Train accuracy: 0.322329, Valid accuracy: 0.239097, Test accuracy: 0.272798
 --- 32 ---, Experiment: 2,  Epoch: 24, Average train loss: 1.634575, Train accuracy: 0.323108, Valid accuracy: 0.241433, Test accuracy: 0.273578
 --- 32 ---, Experiment: 2,  Epoch: 25, Average train loss: 1.629952, Train accuracy: 0.325543, Valid accuracy: 0.244548, Test accuracy: 0.275136
 --- 32 ---, Experiment: 2,  Epoch: 26, Average train loss: 1.625343, Train accuracy: 0.328367, Valid accuracy: 0.247664, Test accuracy: 0.274357
 --- 32 ---, Experiment: 2,  Epoch: 27, Average train loss: 1.620741, Train accuracy: 0.330996, Valid accuracy: 0.245327, Test accuracy: 0.275136
 --- 32 ---, Experiment: 2,  Epoch: 28, Average train loss: 1.616139, Train accuracy: 0.334210, Valid accuracy: 0.246106, Test accuracy: 0.276695
 --- 32 ---, Experiment: 2,  Epoch: 29, Average train loss: 1.611532, Train accuracy: 0.337715, Valid accuracy: 0.246885, Test accuracy: 0.275916
 --- 32 ---, Experiment: 3,  Epoch: 0, Average train loss: 1.793630, Train accuracy: 0.216574, Valid accuracy: 0.234424, Test accuracy: 0.229930
 --- 32 ---, Experiment: 3,  Epoch: 1, Average train loss: 1.759707, Train accuracy: 0.222514, Valid accuracy: 0.239097, Test accuracy: 0.243959
 --- 32 ---, Experiment: 3,  Epoch: 2, Average train loss: 1.750292, Train accuracy: 0.233713, Valid accuracy: 0.253894, Test accuracy: 0.243180
 --- 32 ---, Experiment: 3,  Epoch: 3, Average train loss: 1.742580, Train accuracy: 0.240238, Valid accuracy: 0.250000, Test accuracy: 0.248636
 --- 32 ---, Experiment: 3,  Epoch: 4, Average train loss: 1.736001, Train accuracy: 0.245301, Valid accuracy: 0.245327, Test accuracy: 0.250195
 --- 32 ---, Experiment: 3,  Epoch: 5, Average train loss: 1.730166, Train accuracy: 0.253092, Valid accuracy: 0.242212, Test accuracy: 0.245518
 --- 32 ---, Experiment: 3,  Epoch: 6, Average train loss: 1.724566, Train accuracy: 0.258837, Valid accuracy: 0.240654, Test accuracy: 0.250195
