 Embeddings Trainable: True 

 --- 0 ---,  Epoch: 0, Average train loss: 1.776701, Train accuracy: 0.253189, Valid accuracy: 0.254673, Test accuracy: 0.236165
 --- 0 ---,  Epoch: 1, Average train loss: 1.734143, Train accuracy: 0.282696, Valid accuracy: 0.260903, Test accuracy: 0.247857
 --- 0 ---,  Epoch: 2, Average train loss: 1.714967, Train accuracy: 0.308793, Valid accuracy: 0.257009, Test accuracy: 0.248636
 --- 0 ---,  Epoch: 3, Average train loss: 1.694349, Train accuracy: 0.322816, Valid accuracy: 0.262461, Test accuracy: 0.256430
 --- 0 ---,  Epoch: 4, Average train loss: 1.679202, Train accuracy: 0.341026, Valid accuracy: 0.251558, Test accuracy: 0.263445
 --- 0 ---,  Epoch: 5, Average train loss: 1.665258, Train accuracy: 0.350375, Valid accuracy: 0.260903, Test accuracy: 0.263445
 --- 0 ---,  Epoch: 6, Average train loss: 1.648785, Train accuracy: 0.371409, Valid accuracy: 0.262461, Test accuracy: 0.269680
 --- 0 ---,  Epoch: 7, Average train loss: 1.635135, Train accuracy: 0.384750, Valid accuracy: 0.263240, Test accuracy: 0.264224
 --- 0 ---,  Epoch: 8, Average train loss: 1.619876, Train accuracy: 0.396825, Valid accuracy: 0.268692, Test accuracy: 0.267342
 --- 0 ---,  Epoch: 9, Average train loss: 1.606440, Train accuracy: 0.413283, Valid accuracy: 0.262461, Test accuracy: 0.254871
 --- 0 ---,  Epoch: 10, Average train loss: 1.589145, Train accuracy: 0.433343, Valid accuracy: 0.263240, Test accuracy: 0.257989
 --- 0 ---,  Epoch: 11, Average train loss: 1.577346, Train accuracy: 0.443665, Valid accuracy: 0.265576, Test accuracy: 0.259548
 --- 0 ---,  Epoch: 12, Average train loss: 1.560686, Train accuracy: 0.459733, Valid accuracy: 0.271807, Test accuracy: 0.263445
 --- 0 ---,  Epoch: 13, Average train loss: 1.551843, Train accuracy: 0.474925, Valid accuracy: 0.265576, Test accuracy: 0.260327
 --- 0 ---,  Epoch: 14, Average train loss: 1.532825, Train accuracy: 0.484857, Valid accuracy: 0.269470, Test accuracy: 0.268901
 --- 0 ---,  Epoch: 15, Average train loss: 1.522680, Train accuracy: 0.495861, Valid accuracy: 0.267913, Test accuracy: 0.261886
 --- 0 ---,  Epoch: 16, Average train loss: 1.507838, Train accuracy: 0.505210, Valid accuracy: 0.265576, Test accuracy: 0.265004
 --- 0 ---,  Epoch: 17, Average train loss: 1.495755, Train accuracy: 0.518746, Valid accuracy: 0.267134, Test accuracy: 0.265004
 --- 0 ---,  Epoch: 18, Average train loss: 1.481271, Train accuracy: 0.526147, Valid accuracy: 0.271028, Test accuracy: 0.265004
 --- 0 ---,  Epoch: 19, Average train loss: 1.467020, Train accuracy: 0.537638, Valid accuracy: 0.275701, Test accuracy: 0.265004
 --- 0 ---,  Epoch: 20, Average train loss: 1.456305, Train accuracy: 0.544552, Valid accuracy: 0.273364, Test accuracy: 0.259548
 --- 0 ---,  Epoch: 21, Average train loss: 1.443582, Train accuracy: 0.552732, Valid accuracy: 0.271028, Test accuracy: 0.255651
