 CRNN

 --- Experiment: 0,  Epoch: 0, Average train loss: 1.767673, Train accuracy: 0.253773, Valid accuracy: 0.242212, Test accuracy: 0.238504
 --- Experiment: 0,  Epoch: 1, Average train loss: 1.730633, Train accuracy: 0.266238, Valid accuracy: 0.249221, Test accuracy: 0.253313
 --- Experiment: 0,  Epoch: 2, Average train loss: 1.711810, Train accuracy: 0.275976, Valid accuracy: 0.251558, Test accuracy: 0.266563
 --- Experiment: 0,  Epoch: 3, Average train loss: 1.697319, Train accuracy: 0.288733, Valid accuracy: 0.260903, Test accuracy: 0.272019
 --- Experiment: 0,  Epoch: 4, Average train loss: 1.684435, Train accuracy: 0.300321, Valid accuracy: 0.267913, Test accuracy: 0.268901
 --- Experiment: 0,  Epoch: 5, Average train loss: 1.671497, Train accuracy: 0.310546, Valid accuracy: 0.273364, Test accuracy: 0.273578
 --- Experiment: 0,  Epoch: 6, Average train loss: 1.658909, Train accuracy: 0.320479, Valid accuracy: 0.276480, Test accuracy: 0.279813
 --- Experiment: 0,  Epoch: 7, Average train loss: 1.646294, Train accuracy: 0.329243, Valid accuracy: 0.268692, Test accuracy: 0.284489
 --- Experiment: 0,  Epoch: 8, Average train loss: 1.632217, Train accuracy: 0.337813, Valid accuracy: 0.267134, Test accuracy: 0.280592
 --- Experiment: 0,  Epoch: 9, Average train loss: 1.617896, Train accuracy: 0.349012, Valid accuracy: 0.265576, Test accuracy: 0.270460
 --- Experiment: 0,  Epoch: 10, Average train loss: 1.602244, Train accuracy: 0.357971, Valid accuracy: 0.259346, Test accuracy: 0.266563
 --- Experiment: 0,  Epoch: 11, Average train loss: 1.587522, Train accuracy: 0.368682, Valid accuracy: 0.260903, Test accuracy: 0.265783
 --- Experiment: 0,  Epoch: 12, Average train loss: 1.570732, Train accuracy: 0.380368, Valid accuracy: 0.256231, Test accuracy: 0.268122
 --- Experiment: 0,  Epoch: 13, Average train loss: 1.551327, Train accuracy: 0.392638, Valid accuracy: 0.251558, Test accuracy: 0.259548
 --- Experiment: 0,  Epoch: 14, Average train loss: 1.534662, Train accuracy: 0.406953, Valid accuracy: 0.248442, Test accuracy: 0.268901
 --- Experiment: 0,  Epoch: 15, Average train loss: 1.513349, Train accuracy: 0.419710, Valid accuracy: 0.253894, Test accuracy: 0.269680
 --- Experiment: 0,  Epoch: 16, Average train loss: 1.500721, Train accuracy: 0.430519, Valid accuracy: 0.258567, Test accuracy: 0.274357
 --- Experiment: 0,  Epoch: 17, Average train loss: 1.477079, Train accuracy: 0.442010, Valid accuracy: 0.253894, Test accuracy: 0.275136
 --- Experiment: 0,  Epoch: 18, Average train loss: 1.459796, Train accuracy: 0.458467, Valid accuracy: 0.251558, Test accuracy: 0.266563
 --- Experiment: 0,  Epoch: 19, Average train loss: 1.442473, Train accuracy: 0.470640, Valid accuracy: 0.255452, Test accuracy: 0.257989
